PeakID (cmd=annotatePeaks.pl /home/ttroutman/2020_seidman_troutman_sakai_etal/intersect_ATAC_H3K27ac_RNA_20191027/mergePeaks_C57_NoTx_Tim4Pos20wkNASH.txt mm10 -d /data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PKup_ChIP_H3K27ac_Flavopiridol_TDTJSS_CE_TDT_l20170915/ /data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_notx_TDTJSSCBHB_Pool_l20180423/ /data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_20WkNASH_TDTJSS_C579A_l20180423/ /data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_20WkNASH_TDTJSS_C579C_l20180423/ -size 1000) (cmd=getDiffExpression.pl /home/psaisan/MCAT/KC-H_KC_N_H3k27ac_at_peaks_w1000.txt WT WT KO KO -log2fold 1 -raw)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	/data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PKup_ChIP_H3K27ac_Flavopiridol_TDTJSS_CE_TDT_l20170915/ Tag Count in 1000 bp (9468035.0 Total, normalization factor = 1.06, effective total = 10000000)	/data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_notx_TDTJSSCBHB_Pool_l20180423/ Tag Count in 1000 bp (22615879.0 Total, normalization factor = 0.44, effective total = 10000000)	/data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_20WkNASH_TDTJSS_C579A_l20180423/ Tag Count in 1000 bp (18749728.0 Total, normalization factor = 0.53, effective total = 10000000)	/data/mm10/Kupffer/ChIP/H3K27Ac/c57bl6j_M_Tim4PosKupffer_ChIP_H3K27Ac_20WkNASH_TDTJSS_C579C_l20180423/ Tag Count in 1000 bp (19231109.0 Total, normalization factor = 0.52, effective total = 10000000)	WT vs. KO Log2 Fold Change	WT vs. KO p-value	WT vs. KO adj. p-value
Merged-chr17-20949861-2	chr17	20949761	20949961	+	20.365	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_016891, intron 1 of 14)	MLT1C|LTR|ERVL-MaLR	4407.0	NM_016891	51792.0	Mm.294138	NM_016891	ENSMUSG00000007564	Ppp2r1a	6330556D22Rik|PP2A|PR65	protein phosphatase 2, regulatory subunit A, alpha	protein-coding	11.62	7.52	47.47	29.64	2.1828134954257	0.0002219636036816	0.0034961677608135
Merged-chr9-56506138-2	chr9	56506038	56506238	+	16.25	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	Intergenic	87519.0	NM_025812	66867.0	Mm.150856	NM_025812	ENSMUSG00000032329	Hmg20a	1200004E06Rik|5730490E10Rik|Hmgxb1|Ibraf	high mobility group 20A	protein-coding	4.22	6.19	17.07	24.96	2.32270769763106	0.0036474876361656	0.0319717167770065
Merged-chr4-135080402-1	chr4	135080302	135080502	+	15.4	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	Intergenic	-40243.0	NM_019732	12399.0	Mm.378894	NM_019732	ENSMUSG00000070691	Runx3	AML2|Cbfa3|Pebp2a3	runt related transcription factor 3	protein-coding	3.17	6.63	68.27	49.92	3.79087222972844	1.86365226775055e-09	1.59032573736414e-07
Merged-chr16-24973184-1	chr16	24973084	24973284	+	8.61	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt	intron (NM_178665, intron 11 of 12)	intron (NM_178665, intron 11 of 12)	-86455.0	NR_040374	319487.0	Mm.137341	NR_040374	ENSMUSG00000096960	A230028O05Rik	-	RIKEN cDNA A230028O05 gene	ncRNA	39.08	29.18	93.33	78.52	1.58453889767615	2.3184342300512e-05	0.0005444426672083
Merged-chr19-53564409-2	chr19	53564309	53564509	+	63.150002	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	Intergenic	35091.0	NM_001085390	240672.0	Mm.482424	NM_001085390	ENSMUSG00000034765	Dusp5	Gm337	dual specificity phosphatase 5	protein-coding	6.34	8.4	29.33	26.52	2.23993288541892	0.0009938763470599	0.0115806551788854
Merged-chr6-146221580-1	chr6	146221480	146221680	+	19.200001	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_019923, intron 45 of 56)	intron (NM_019923, intron 45 of 56)	280643.0	NM_010586	16439.0	Mm.7800	NM_010586	ENSMUSG00000030287	Itpr2	AI649341|InsP3R-2|InsP3R-5|Ip3r2|Itpr5|insP3R2	inositol 1,4,5-triphosphate receptor 2	protein-coding	44.36	21.67	84.8	59.28	1.37231880903871	0.0010787330166693	0.0123462802284555
Merged-chr2-131509889-2	chr2	131509789	131509989	+	23.85	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_001177840, intron 1 of 3)	intron (NM_001177840, intron 1 of 3)	18027.0	NM_001177833	228608.0	Mm.136586	NM_145533	ENSMUSG00000027333	Smox	B130066H01Rik|PAO|PAOh1|SMO	spermine oxidase	protein-coding	13.73	6.63	43.73	47.84	2.38913972975158	1.96923780352997e-05	0.0004743418930071
Merged-chr4-139579654-2	chr4	139579554	139579754	+	17.450001	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_001205173, intron 1 of 8)	intron (NM_001205173, intron 1 of 8)	4934.0	NM_001205173	212632.0	Mm.30464	NM_183148	ENSMUSG00000041025	Iffo2	C79267	intermediate filament family orphan 2	protein-coding	70.76	56.6	108.8	109.2	1.01797443036327	0.0012914091080705	0.0142492101757009
Merged-chr12-102296592-2	chr12	102296492	102296692	+	17.75	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_001161365, intron 1 of 9)	intron (NM_001161365, intron 1 of 9)	12951.0	NM_001161365	217835.0	Mm.24145	NM_177620	ENSMUSG00000044456	Rin3	6430500K07|C86933	Ras and Rab interactor 3	protein-coding	45.42	32.72	101.87	98.8	1.61580698806384	4.62495576659234e-06	0.0001379806212175
Merged-chr10-89744982-2	chr10	89744882	89745082	+	76.899994	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	promoter-TSS (NM_029166)	promoter-TSS (NM_029166)	-9.0	NM_029166	75089.0	Mm.268922	NM_029166	ENSMUSG00000019951	Uhrf1bp1l	2010319N22Rik|4930506D01Rik|AA589495|C80672|E030041M21Rik|mKIAA0701	UHRF1 (ICBP90) binding protein 1-like	protein-coding	176.38	138.84	285.34	258.96	1.03574212312324	7.00609177495037e-06	0.0001968728752663
Merged-chr16-14135222-2	chr16	14135122	14135322	+	29.5	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_001081154, intron 13 of 26)	ORR1B2|LTR|ERVL-MaLR	24052.0	NM_001081154	223989.0	Mm.85442	NM_001081154	ENSMUSG00000060657	Marf1	4921513D23Rik|BC031575|C87306|E030019O05|Lkap|mKIAA0430	meiosis regulator and mRNA stability 1	protein-coding	47.53	53.5	97.07	82.16	1.04957960689191	0.0023166473913643	0.0224880399471806
Merged-chr2-167375438-2	chr2	167375338	167375538	+	94.800003	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	Intergenic	-26260.0	NM_019835	56336.0	Mm.200886	NM_019835	ENSMUSG00000017929	B4galt5	9430078I07Rik|AW049941|AW539721	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 5	protein-coding	138.36	132.65	268.27	221.52	1.0947689936318	3.88455513341969e-06	0.000118761370246
Merged-chr4-6355458-2	chr4	6355358	6355558	+	50.900002	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	Intergenic	-10222.0	NM_016807	53378.0	Mm.247473	NM_016807	ENSMUSG00000028249	Sdcbp	MDA-9|Sycl|syntenin-1	syndecan binding protein	protein-coding	100.34	134.42	330.14	320.31	1.71275015936202	4.02029038491445e-12	6.92241513844009e-10
Merged-chr17-26605748-2	chr17	26605648	26605848	+	47.75	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_026170, intron 1 of 9)	intron (NM_026170, intron 1 of 9)	44236.0	NM_026170	67458.0	Mm.30496	NM_026170	ENSMUSG00000001576	Ergic1	1200007D18Rik|maa-136	endoplasmic reticulum-golgi intermediate compartment (ERGIC) 1	protein-coding	22.18	19.9	121.07	93.6	2.59524659249903	2.4358686075453494e-11	3.53365369225085e-09
Merged-chr11-70490409-2	chr11	70490309	70490509	+	14.710001	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	RLTR11A2|LTR|ERVK	-14865.0	NM_029360	75604.0	Mm.24400	NM_029360	ENSMUSG00000018919	Tm4sf5	2010003F10Rik|AI323987	transmembrane 4 superfamily member 5	protein-coding	73.93	83.13	185.6	174.72	1.44280352662809	1.61004641322473e-07	7.73395390895623e-06
Merged-chr8-11038533-2	chr8	11038433	11038633	+	35.099998	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NR_046017, intron 1 of 4)	intron (NR_046017, intron 1 of 4)	-30103.0	NM_001081212	384783.0	Mm.407207	NM_001081212	ENSMUSG00000038894	Irs2	Irs-2	insulin receptor substrate 2	protein-coding	45.42	38.47	97.07	103.48	1.51937527883131	1.29476291009168e-05	0.0003296674303812
Merged-chr15-38650543-1	chr15	38650443	38650643	+	11.1	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt	Intergenic	Intergenic	-11361.0	NM_025494	66335.0	Mm.276618	NM_025494	ENSMUSG00000022295	Atp6v1c1	1700025B18Rik|U13839	ATPase, H+ transporting, lysosomal V1 subunit C1	protein-coding	66.54	33.6	82.67	104.0	1.15485581782493	0.0022193919093522	0.0217725535628032
Merged-chr2-173452373-1	chr2	173452273	173452473	+	21.200001	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	Intergenic	-70219.0	NM_028158	72221.0	Mm.46132	NM_028158	ENSMUSG00000027518	1700021F07Rik	-	RIKEN cDNA 1700021F07 gene	protein-coding	7.39	3.1	26.13	39.0	2.96841604790459	4.40141501491929e-05	0.0009273816596612
Merged-chr9-116329336-1	chr9	116329236	116329436	+	18.299999	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	Intergenic	140156.0	NR_152204	100043817.0	Mm.404276	NR_152204		Gm4668	-	predicted gene 4668	ncRNA	2.11	0.88	8.53	17.16	3.38702295127498	0.0048101606415644	0.0395296971460217
Merged-chr10-78471107-1	chr10	78471007	78471207	+	36.5	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	Intergenic	-6159.0	NM_172134	216134.0	Mm.206159	NM_172134	ENSMUSG00000032788	Pdxk	2310036D04Rik|AA119688|C77999	pyridoxal (pyridoxine, vitamin B6) kinase	protein-coding	11.62	11.94	90.13	65.0	2.9271233303725	6.73856818960096e-10	6.60504892462796e-08
Merged-chr18-20743153-1	chr18	20743053	20743253	+	19.700001	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_019737, intron 1 of 8)	Charlie1a|DNA|hAT-Charlie	3251.0	NM_019737	56386.0	Mm.393827	NM_019737	ENSMUSG00000056124	B4galt6	AA536803|AU022389	UDP-Gal:betaGlcNAc beta 1,4-galactosyltransferase, polypeptide 6	protein-coding	58.09	62.35	117.34	95.16	1.05890709946235	0.0010012314162653	0.0116546550434563
Merged-chr3-135517047-1	chr3	135516947	135517147	+	59.099998	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_027288, intron 4 of 16)	MLT1F2|LTR|ERVL-MaLR	31436.0	NM_027288	110173.0	Mm.280536	NM_027288	ENSMUSG00000028164	Manba	2410030O07Rik|B930014J03Rik|Bmn	mannosidase, beta A, lysosomal	protein-coding	2.11	2.65	48.0	42.12	4.4101296490355	4.52526020116452e-08	2.57186360130239e-06
Merged-chr17-27203223-1	chr17	27203123	27203323	+	10.5	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt	intron (NM_146075, intron 1 of 8)	intron (NM_146075, intron 1 of 8)	1215.0	NM_146075	224640.0	Mm.29689	NM_146075	ENSMUSG00000044857	Lemd2	BC026588|Lem2|NET25	LEM domain containing 2	protein-coding	19.01	19.46	57.6	46.8	1.70570073380304	0.0002857956149284	0.0042632036368773
Merged-chr9-92457943-1	chr9	92457843	92458043	+	16.799999	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_178711, intron 1 of 8)	CpG	565.0	NM_178711	235527.0	Mm.55289	NM_178711	ENSMUSG00000032377	Plscr4	AV245873	phospholipid scramblase 4	protein-coding	13.73	3.54	24.53	30.16	1.88087079807679	0.0060781893163757	0.0469451738934296
Merged-chr19-11589389-1	chr19	11589289	11589489	+	20.200001	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_026835, intron 5 of 6)	intron (NM_026835, intron 5 of 6)	15415.0	NM_026835	68774.0	Mm.290390	NM_026835	ENSMUSG00000024679	Ms4a6d	1110058E16Rik|AI447446|Ms4a11	membrane-spanning 4-domains, subfamily A, member 6D	protein-coding	16.9	19.9	69.87	72.28	2.18476748400904	6.89536386079984e-07	2.69076851883411e-05
Merged-chr2-60172015-1	chr2	60171915	60172115	+	27.9	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	MLTR14|LTR|ERV1	-37921.0	NM_020575	57438.0	Mm.260635	NM_020575	ENSMUSG00000026977	March7	Axo|Axot|Gtrgeo17	membrane-associated ring finger (C3HC4) 7	protein-coding	12.67	1.77	24.53	27.56	2.09391714560904	0.0046264524221566	0.0383732353774273
Merged-chr11-101465210-2	chr11	101465110	101465310	+	30.15	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_012037, intron 1 of 5)	intron (NM_012037, intron 1 of 5)	989.0	NM_012037	26949.0	Mm.29210	NM_012037	ENSMUSG00000034993	Vat1	VAT-1	vesicle amine transport 1	protein-coding	133.08	120.71	319.47	286.51	1.49862305937659	5.861881675759389e-11	7.76592255706142e-09
Merged-chr17-84116998-2	chr17	84116898	84117098	+	34.150002	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	Intergenic	38338.0	NR_045458	74473.0	Mm.399575	NR_045458		4933433H22Rik	-	RIKEN cDNA 4933433H22 gene	ncRNA	63.37	35.37	91.73	105.04	1.2683962414743	0.0004624377370608	0.0062542961206676
Merged-chr13-73434305-2	chr13	73434205	73434405	+	27.599998	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	Intergenic	-33078.0	NM_145376	210992.0	Mm.284649	NM_145376	ENSMUSG00000021608	Lpcat1	2900035H07Rik|Aytl2|BB137372|BC005662|C87117|LPCAT|rd11	lysophosphatidylcholine acyltransferase 1	protein-coding	45.42	36.26	127.47	97.24	1.70865676567232	6.01099660526995e-07	2.38904178091781e-05
Merged-chr2-31061015-2	chr2	31060915	31061115	+	24.5	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_001355105, intron 6 of 15)	intron (NM_001355105, intron 6 of 15)	35485.0	NM_001177650	14269.0	Mm.52297	NM_019406	ENSMUSG00000075415	Fnbp1	1110057E06Rik|2210010H06Rik|FBP1|Fbp17	formin binding protein 1	protein-coding	71.82	74.28	121.07	127.92	1.01693032392073	0.0007432465911145	0.0091587109667879
Merged-chr10-83330478-1	chr10	83330378	83330578	+	26.9	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_177388, intron 1 of 10)	B1F2|SINE|Alu	7339.0	NM_177388	338365.0	Mm.67073	NM_177388	ENSMUSG00000034591	Slc41a2	A230035L05Rik|SLC41A1-L1	solute carrier family 41, member 2	protein-coding	12.67	11.05	101.33	101.4	3.32134929980412	8.09633637896008e-14	2.2160665616128097e-11
Merged-chr13-51743016-2	chr13	51742916	51743116	+	21.549999	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_001281880, intron 2 of 16)	MTB_Mm|LTR|ERVL-MaLR	50731.0	NM_001281880	20354.0	Mm.33903	NM_013660	ENSMUSG00000021451	Sema4d	CD100|Semacl2|Semaj|Semcl2|coll-4	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4D	protein-coding	6.34	5.31	90.13	65.0	4.05423597819772	2.81352238444865e-12	5.07019451560255e-10
Merged-chr14-40937314-2	chr14	40937214	40937414	+	37.400002	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_145928, intron 1 of 8)	intron (NM_145928, intron 1 of 8)	10895.0	NM_001316748	52588.0	Mm.28876	NM_145928	ENSMUSG00000037824	Tspan14	AA958793|D14Ertd226e|Tm4sf14|tspan-14	tetraspanin 14	protein-coding	43.3	54.83	107.73	102.44	1.33886375125232	7.89719570281367e-05	0.0014995110440025
Merged-chr17-44664028-1	chr17	44663928	44664128	+	26.9	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_001271627, intron 4 of 7)	intron (NM_001271627, intron 4 of 7)	72148.0	NM_001271630	12393.0	Mm.391013	NM_009820	ENSMUSG00000039153	Runx2	AML3|Cbf|Cbfa-1|Cbfa1|LS3|Osf2|PEBP2aA|Pebp2a1|Pebpa2a	runt related transcription factor 2	protein-coding	3.17	4.86	94.4	88.92	4.75817632445796	2.23714323533316e-14	6.76118283941029e-12
Merged-chr1-62720405-2	chr1	62720305	62720505	+	46.0	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_001077404, intron 2 of 16)	intron (NM_001077404, intron 2 of 16)	17088.0	NM_001077403	18187.0	Mm.266341	NM_010939	ENSMUSG00000025969	Nrp2	1110048P06Rik|Np-2|Np2|Npn-2|Npn2	neuropilin 2	protein-coding	38.02	37.58	122.14	101.92	1.79963382627408	1.45937995555803e-07	7.10006942420727e-06
Merged-chr2-13557335-2	chr2	13557235	13557435	+	17.904999	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	Intergenic	-12671.0	NM_010067	13434.0	Mm.6979	NM_010067	ENSMUSG00000026723	Trdmt1	Dnmt2|Rnmt2	tRNA aspartic acid methyltransferase 1	protein-coding	41.19	22.55	85.87	90.48	1.71646857290758	1.06989446221132e-05	0.0002818101042157
Merged-chr16-21596633-2	chr16	21596533	21596733	+	21.450001	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_001081366, intron 44 of 46)	intron (NM_001081366, intron 44 of 46)	98032.0	NM_001001881	72190.0	Mm.131606	NM_001001881	ENSMUSG00000043391	2510009E07Rik	AI194952	RIKEN cDNA 2510009E07 gene	protein-coding	52.81	30.51	73.07	78.52	1.11374568328098	0.0039111559207683	0.033762666559718
Merged-chr5-143475691-2	chr5	143475591	143475791	+	23.849998	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_144915, intron 4 of 14)	intron (NM_144915, intron 4 of 14)	11198.0	NM_144915	231871.0	Mm.469963	NM_144915	ENSMUSG00000039206	Daglb	E330036I19Rik	diacylglycerol lipase, beta	protein-coding	92.94	100.81	166.94	166.4	1.02317389684273	0.0001611118966069	0.0026956822841554
Merged-chr7-122329763-2	chr7	122329663	122329863	+	18.6	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_001316672, intron 2 of 16)	intron (NM_001316672, intron 2 of 16)	40638.0	NM_001316672	18751.0	Mm.207496	NM_008855	ENSMUSG00000052889	Prkcb	PKC-B|PKC-Beta|Pkcb|Prkcb1|Prkcb2	protein kinase C, beta	protein-coding	28.52	22.55	119.47	91.52	2.26194219252105	1.7136743397219e-09	1.47719303037531e-07
Merged-chr4-125145410-2	chr4	125145310	125145510	+	72.0	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	Intergenic	-17529.0	NM_153159	230738.0	Mm.402	NM_153159	ENSMUSG00000042677	Zc3h12a	BC036563|MCPIP|MCPIP-1|Mcpip1|Reg1	zinc finger CCCH type containing 12A	protein-coding	38.02	35.37	123.2	133.12	2.05991255068557	1.00552034599957e-09	9.35053351239058e-08
Merged-chr19-35126690-1	chr19	35126590	35126790	+	21.6	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	Intergenic	161294.0	NR_035473	100316775.0		NR_035473	ENSMUSG00000089151	Mir1950	mmu-mir-1950	microRNA 1950	ncRNA	7.39	2.65	41.6	27.56	3.0496309694247	1.65673037735118e-05	0.000408737642885
Merged-chr14-121366389-2	chr14	121366289	121366489	+	21.950001	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	intron (NM_145465, intron 1 of 10)	intron (NM_145465, intron 1 of 10)	12841.0	NM_145465	223255.0	Mm.390756	NM_145465	ENSMUSG00000063410	Stk24	1810013H02Rik|C76483|MST-3|Mst3|STE20	serine/threonine kinase 24	protein-coding	7.39	2.65	18.13	27.04	2.43894064716492	0.0021287858574137	0.0210761059457683
Merged-chr9-44538136-1	chr9	44538036	44538236	+	14.9	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	Intergenic	-11715.0	NM_007551	12145.0	Mm.6246	NM_007551	ENSMUSG00000047880	Cxcr5	Blr1|CXC-R5|CXCR-5|Gpcr6|MDR15	chemokine (C-X-C motif) receptor 5	protein-coding	7.39	4.86	26.13	23.4	2.27641800035256	0.0017636328127899	0.0181805509376017
Merged-chr7-119921266-2	chr7	119921166	119921366	+	34.650002	../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_control_Tim4Pos.txt|../IDR_ATAC/ATAC_IDR_optimal_peaks/peaks_opt_C57_ATAC_20week_diet_Tim4Pos.txt	Intergenic	Intergenic	21155.0	NR_126475	73919.0	Mm.46381	NM_029610	ENSMUSG00000030922	Lyrm1	1110065L10Rik|2310004B22Rik|4930404J24Rik	LYR motif containing 1	protein-coding	51.75	54.39	96.53	82.68	1.00400973821641	0.0031119960328489	0.028299607239951
